,year,unique_artist_count,artists_with_1_hit,artists_with_2_hits,artists_with_3_hits,artists_with_4_hits,artists_with_5_hits
0,1960,80,65,10,1,4,0
1,1961,83,66,14,2,1,0
2,1962,93,80,12,1,0,0
3,1963,88,73,15,0,0,0
4,1964,78,60,15,1,0,1
5,1965,83,64,15,3,0,1
6,1966,86,72,10,3,1,0
7,1967,82,66,11,4,1,0
8,1968,87,74,10,2,1,0
9,1969,86,67,17,2,0,0
10,1970,85,73,10,1,1,0
11,1971,89,77,11,1,0,0
12,1972,95,88,6,1,0,0
13,1973,86,70,14,2,0,0
14,1974,83,66,11,6,0,0
15,1975,85,68,16,1,0,0
16,1976,88,71,17,0,0,0
17,1977,84,67,15,2,0,0
18,1978,86,74,10,2,0,0
19,1979,86,75,8,2,1,0
20,1980,85,66,17,2,0,0
21,1981,79,61,14,4,0,0
22,1982,82,64,14,4,0,0
23,1983,83,67,10,5,0,1
24,1984,81,64,7,9,1,0
25,1985,72,52,12,5,1,2
26,1986,91,78,9,4,0,0
27,1987,87,66,16,4,1,0
28,1988,75,55,10,8,1,1
29,1989,79,65,7,4,2,1
30,1990,81,64,13,2,1,1
31,1991,82,64,15,2,1,0
32,1992,75,53,12,10,0,0
33,1993,84,67,13,4,0,0
34,1994,83,65,13,4,1,0
35,1995,84,70,7,4,3,0
36,1996,96,79,13,4,0,0
37,1997,101,87,9,4,0,1
38,1998,104,83,16,4,1,0
39,1999,94,73,12,8,1,0
40,2000,92,73,17,2,0,0
41,2001,99,80,14,5,0,0
42,2002,97,72,16,7,0,2
43,2003,105,82,13,8,1,1
44,2004,104,79,18,2,5,0
45,2005,97,73,12,8,2,1
46,2006,100,72,19,6,3,0
47,2007,91,63,18,5,1,0
48,2008,90,65,15,4,1,3
49,2009,86,60,15,7,3,1
50,2010,90,62,13,7,6,2
51,2011,98,72,14,4,6,0
52,2012,82,55,14,8,4,0
53,2013,104,77,16,11,0,0
54,2014,107,77,23,6,1,0
55,2015,102,78,15,3,3,3
56,2016,93,66,12,11,1,2
57,2017,104,69,24,8,2,1
58,2018,100,73,15,7,3,0
59,2019,94,66,18,5,1,4
60,2020,102,78,16,1,3,2
